name,url,description,employee-number,enabled,partnerships,products,people,founded,segments
Circle Of Sharing,https:circleofsharing.cancer.org,"Circle Of Sharing helps cancer patients and their caregivers get personalized information about the disease, and share that information with family and friends. You can create a Circle Of Sharing for yourself, or create one on behalf of someone you’re caring for.",,true,,,,,"Patient/Consumer Communities, Content, "
Crazy Sexy Life,http:my.crazysexylife.com,"Crazy Sexy Life is an online community health hub filled with compassion, knowledge, and an anything-is-possible spirit.",,true,,,,,"Patient/Consumer Communities, "
Crohn’s and Colitis Foundation of America,http:www.ccfacommunity.org,Crohn’s and Colitis Foundation of America is a non-profit foundation site featuring discussion groups and forums.,,true,,,,,"Patient/Consumer Communities, "
CysticFibrosis.com,http:www.cysticfibrosis.com,"CysticFibrosis.com consists of patients and families from all over the world, sharing their experiences with CF. They are joined together to grow our knowledge and reach amazing goals. ",,true,,,,,"Patient/Consumer Communities, Content, "
Depression Forums,http:www.depressionforums.org,Depression Forums.org is a community support website soley dedicated to Depression and Mental Health.,,true,,,,,"Patient/Consumer Communities, "
Depression Tribe,http:www.depressiontribe.com,Depression Tribe offers members a depression support community and content about depression. ,,true,,,,,"Patient/Consumer Communities, "
Depression Understood,http:www.depression-understood.org,"Depression Understood is an online support community for those with depression, anxiety and other mood related issues offering forums and chat rooms. ",,true,,,,,"Patient/Consumer Communities, "
Diabetes1,http:www.diabetes1.org,"Diabetes1 offers information on diabetes and insulin, videos, diabetic care tools and active forums. ",,true,,,,,"Patient/Consumer Communities, Content, Self Management tools , "
Epilepsy.com,http:www.epilepsy.com,"Epilepsy.com provides an online support community in addition to information about epilepsy and self help tools to locate doctors, clinical trials or share videos and diaries. ",,true,,,,,"Patient/Consumer Communities, Content, Clinical trials search , Provider Search, "
Healing Well,www.healingwell.com,"HealingWell.com is a social network and support community for patients, caregivers, and families coping with the daily struggles of diseases, disorders and chronic illness. ",,true,,,,,"Patient/Consumer Communities, "
HealthBoards,http:www.healthboards.com,"HealthBoards provides a support group community offering over 150 message boards on various diseases, conditions, and health topics. The HealthBoards community is one of the largest and most dynamic on the Web, with over 400,000 registered members, and over 3 million messages posted.",,true,,,,,"Patient/Consumer Communities, "
Know Cancer,http:www.knowcancer.com/community,"The Know Cancer Community is a cancer social network where patients can connect to others, shares stories and find support.",,true,,,,,"Patient/Consumer Communities, "
MD Circle,http:www.mdcircle.com,MD Circle provides a place where MDs are rated so that patients can find trusted doctors and doctors can publish their profile online. ,,true,,,,,"Patient/Consumer Communities, Search, "
MD Junction,http:www.mdjunction.com,"MDJunction is an active center for Online Support Groups, a place where thousands of patients meet every day to discuss their feelings, questions and hopes with like minded friends.",,true,,,,,"Patient/Consumer Communities, "
Metabolic Body Odor Community,http:bodyodorsupport.com,Metabolic Body Odor Community is a community entirely focused on support around metabolic disorders that cause body odor.,,true,,,,,"Patient/Consumer Communities, "
MyBreastCancerNetwork.com,http:www.healthcentral.com/breast-cancer,MyBreastCancerNetwork.com is a breast cancer focused information and support community from HealthCentral.,,true,,,,,"Patient/Consumer Communities, "
My Cancer Place,http:www.mycancerplace.com,"My Cancer Place is a place to join a community of people with cancer, share information, give and receive support, learn from the experiences of others, and create a free web page with text and photos that you can change anytime.",,true,,,,,"Patient/Consumer Communities, "
National Keratoconus Foundation Forum,http:www.nkcf.org/resources/nkcf-forum.html,"National Keratoconus Foundation Forum provide information and support for people diagnosed with keratoconus and their families through a forum and an email-based discussion group, KC Link.",,true,,,,,"Patient/Consumer Communities, Content, "
ObesityHelp,http:www.obesityhelp.com,"ObesityHelp is a Bariatrics support community for patients and professionals. ObesityHelp has been at the forefront of patient support and education, providing our over 600,000 members with the most comprehensive industry information available. ",,true,,,,,"Patient/Consumer Communities, Content, "
Patientsville,http:www.patientsville.com,Patientsville.com is an information source of side effect information providing knowledge about side effects of prescription and off-the-shelf medications.,,true,,,,,"Patient/Consumer Communities, patient communities - independent, "
Planet Cancer,http:www.planetcancer.org,Planet Cancer is a community of young adults with cancer.,,false,,,,,"Patient/Consumer Communities, patient communities - independent, "
PolioToday,http:poliotoday.org,"PolioToday.org is published by the Salk Institute for Biological Studies and is designed to raise awareness of post-polio syndrome and to be a resource for polio survivors through videos, a patient community and news. ",,true,,,,,"Patient/Consumer Communities, patient communities - independent, "
PrescriptionDrug-Info.com,http:www.prescriptiondrug-info.com,PrescriptionDrug-Info.com IS A community where people can share personal experiences with prescription drugs. ,,true,,,,,"Patient/Consumer Communities, patient communities - independent, "
"""ANGELI NOONAN"" Italian patients' association for the Noonan Syndrome Non profit org",www.angelinoonan.it,"we take care of 5 main aspects:1) Divulgate the information on Noonan Syndrome and related syndromes (CFC, Costello, Leopard), promoting through all media and all techologies (web, social network, press, television): the results on research, the development of new laws or regulations, the innovation in terms of patient care or assistance. And helping people to get connected along a world wide network.2) Give families psychological support and assistance3) Support the scientific research4) Give social and legal support to people affected5) Empower people involved in patients' care",,false,,,"undergrad-edu: 
last-name: petroni
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: vice-president, treasurer
first-name: angelo
email: 
",,"Patient/Consumer Communities, "
HBR Labs,www.hbrlabs.com,"HBR Labs creates and deploys real time web enabled interactive live help and live content share platforms so that content providers, businesses and experts can offer online support, relevant information, and an enhanced environment to share content. ",,false,,"date-launched: 
product: 
description: VeriShow.com is an advanced plug-in that enables website owners to conduct real-time web meetings - incorporating voice and video conferencing - and share documents online with site visitors.
name: www.verishow.com

date-launched: 
product: 
description: LiveMDexpert is a website where patients can seek general health information through free public forum or schedule “one on one” live video-based sessions with health providers for a fee.  
name: www.livemdexpert.com
","undergrad-edu: 
last-name: Moed
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Ceo
first-name: Yuval
email: 
",,"Patient/Consumer Communities, Content, Coaching and Advisory Services, Patient-provider communication, "
Caringforyourheart.org,www.caringforyourheart.org,"Caringforyourheart.org brings together medical and Islamic advice to help individuals improve their cardiovascular health. On the website, individuals can identify healthy recipes, watch educational films, share experiences with other patients suffering from heart disease, and find information on local exercise, cooking and patient groups.",,false,,,"undergrad-edu: 
last-name: Mohammed
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Mr
first-name: Raheel 
email: 
",,"Patient/Consumer Communities, Search, Wellness, "
Medigenesis Autism360,autism360.org,Autism360.org is a non-profit providing a web-based tool allowing users to enter information about their child......s individual experience with autism. The autism360 algorithm offers users treatment options that have worked for others with closely matching records.,,false,,,"undergrad-edu: 
last-name: Baker
founder: true
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CVO
first-name: Sidney
email: 
",,"Patient/Consumer Communities, Self Management tools , Coaching and Advisory Services, "
Navigating Cancer,www.navigatingcancer.com,"Navigating Cancer provides comprehensive resources and tools to help patients track and manage their cancer, including patient discussions communities. Navigating Cancer partners with cancer clinics to provide EMR-integrated, Meaningful Use applications designed to streamline the patient intake process for new patients.",,false,,,"undergrad-edu: 
last-name: Cook
founder: true
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Gena
email: 
",,"Patient/Consumer Communities, Content, B2B--Administrative Tools, Patient-provider communication, "
iMobileWellness,www.imobilewellness.com,"iMobileWellness provides medical information and mobile applications (iPod/iPhone/iPad) to patients and physicians to enhance pre, peri and post-operative decision-making surrounding cardiovascular conditions. iMobileWellness also supports online community for cardiac surgery patients and provides a physician directory to help patients identify doctors.",,false,,,"undergrad-edu: 
last-name: Huff
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Chief Marketing Officer
first-name: Bob
email: 
",,"Provider Search, Content, Patient/Consumer Communities, "
HealthRT,www.healthrt.com,"HealthRT is an online Twitter-based health community allowing users to connect with others, share their health related discoveries, and track their health concerns. Users can create their own online health record and share information through health surveys.",,false,,,"undergrad-edu: 
last-name: Cherry
founder: true
other-edu: 
personnel: 
grad-edu: TCU
previous-title: 
current-title: CEO
first-name: Lynn
email: 
",,"Patient/Consumer Communities, Content, Wellness, Self Management tools , Search, "
